1974	07	04	69	0	306	194
1974	07	05	147	0	289	211
1974	07	06	10	0	278	206
1974	07	07	0	0	317	211
1974	07	08	0	0	317	194
1974	07	09	0	0	317	200
1974	07	10	0	0	328	211
1974	07	11	0	0	300	206
1974	07	12	0	0	278	183
1974	07	13	0	0	306	150
1974	07	14	0	0	339	178
1974	07	15	10	0	361	206
1974	07	16	0	0	311	211
1974	07	17	0	0	311	183
1974	07	18	0	0	328	222
1974	07	19	0	0	306	211
1974	07	20	0	0	311	194
1974	07	21	0	0	233	144
1974	07	22	0	0	278	122
1974	07	23	0	0	233	150
1974	07	24	46	0	283	172
1974	07	25	0	0	289	183
1974	07	26	3	0	294	206
1974	07	27	145	0	289	200
1974	07	28	0	0	306	189
1974	07	29	0	0	322	200
1974	07	30	0	0	322	206
1974	07	31	0	0	300	172
1974	08	01	119	0	294	172
1974	08	02	157	0	239	194
1974	08	03	257	0	300	194
1974	08	04	351	0	278	183
1974	08	05	213	0	256	183
1974	08	06	389	0	228	183
1974	08	07	0	0	250	183
1974	08	08	25	0	256	200
1974	08	09	13	0	272	194
1974	08	10	0	0	261	183
1974	08	11	0	0	244	183
1974	08	12	0	0	278	183
1974	08	13	10	0	306	211
1974	08	14	0	0	294	211
1974	08	15	0	0	300	211
1974	08	16	20	0	283	211
1974	08	17	0	0	311	222
1974	08	18	0	0	300	183
1974	08	19	0	0	283	194
1974	08	20	0	0	278	189
1974	08	21	0	0	272	167
1974	08	22	0	0	289	200
1974	08	23	0	0	300	178
1974	08	24	5	0	300	206
1974	08	25	13	0	311	194
1974	08	26	0	0	328	206
1974	08	27	0	0	328	211
1974	08	28	10	0	322	211
1974	08	29	51	0	339	217
1974	08	30	36	0	317	211
1974	08	31	145	0	294	206
1974	09	01	348	0	300	200
1974	09	02	10	0	283	200
1974	09	03	478	0	300	189
1974	09	04	130	0	200	156
1974	09	05	0	0	206	133
1974	09	06	607	0	189	150
1974	09	07	30	0	189	172
1974	09	08	0	0	239	167
1974	09	09	0	0	272	156
1974	09	10	0	0	294	161
1974	09	11	0	0	317	200
1974	09	12	0	0	317	206
1974	09	13	0	0	311	200
1974	09	14	0	0	278	189
1974	09	15	0	0	222	161
1974	09	16	0	0	267	139
1974	09	17	109	0	211	167
1974	09	18	0	0	272	150
